enlace,me_gusta,Publicacion,descripcion,ID_Comentario,Usuario,Texto_Comentario,Cantidad_Likes,Tema_Principal,Sentimiento,Subtema_o_Keyword,Es_Respuesta_A
,,210,,C8,usuario_aplauso2,👏👏,0,Aplauso,Positivo/Aprobación,Reconocimiento,-
,,210,,C9,usuario_saludo,Buena @cristophoroz,0,Saludo y Reconocimiento,Positivo/Reconocimiento,"Elogio, Mención",-
,,210,,C10,usuario_curioso,Cual fue la propuesta?,1,Pregunta sobre el Proyecto,Neutral/Curiosidad,Detalles de la Aplicación,-
,,210,,C11,usuario_meme,Psicólogo: El Lenin gigachad no existe / El Lenin gigachad:,12,Referencia Memética,Positivo/Humor,"Comparación con ""Gigachad"", Imagen de Lenin",-
,,210,,C12,usuario_saludo2,Chévere Rober,1,Saludo Coloquial,Positivo/Aprecio,"Reconocimiento a ""Rober""",-
,,210,,C13,usuario_risa,@d.anielpere.z xdddddddddd,0,Risa Extendida,Positivo/Diversión,"Risa, Mención",C11
,,210,,C14,usuario_apodo,Italo Pepón,0,Apodo,Positivo/Familiar,"Apodo ""Pepón"" para Ítalo",-
https://www.instagram.com/p/DKzupGdR9_l/?img_index=1,321,211,"🎓🏅 La UNMSM otorgó la distinción de Docente Emérito al Dr. Raúl Arrarte Mera, en reconocimiento a su destacada trayectoria docente y su valioso aporte a la generación de conocimiento, especialmente en la Facultad de Ciencias Contables UNMSM.

El Dr. Víctor Dante Ataupilco Vera expresó su agradecimiento al distinguido docente por sus contribuciones a la formación académica y profesional de varias generaciones de estudiantes.

Con 28 años dedicados a la docencia, el Dr. Arrarte Mera es experto en costos, finanzas y metodología de la investigación, y ha sido integrante del Instituto de Investigación de Ciencias Financieras y Contables, además de docente en programas de posgrado.

🌍🎖 ¡Un merecido reconocimiento a quien ha dejado huella en la educación y la contabilidad nacional!",C1,sihomaochoa,Mi profe👏👏,1,Identificación Personal,Positivo/Orgullo,Reconocimiento como Exalumno,-
,,211,,C2,edithcanelo_h,@remroal ya van 2 publicaciones que veo con canción de Taylor 🤭🙌🏻,2,Observación Musical,Positivo/Aprobación,"Frecuencia de Taylor Swift, Mención",-
,,211,,C3,jheslynlagos,¡Muchas felicidades al Dr. Arrarte! 👏,1,Felicitación Directa,Positivo/Alegría,Reconocimiento al Homenajeado,-
,,211,,C4,usuario_aleatorio,Día 4 queriendo conocer al CM,1,Deseo Persistente,Positivo/Curiosidad,"Conocer al CM, Conteo de Días",-
,,211,,C5,fan_sanmarcos,El admin de esta cuenta es un visionario,5,Elogio al Administrador,Positivo/Admiración,Reconocimiento como Visionario,-
,,211,,C6,usuario_musical,Song choice,0,Comentario sobre Música,Positivo/Aprobación,Elección Musical,-
,,211,,C7,usuario_felicitacion,Felicidades profesor 👏,0,Felicitación Sencilla,Positivo/Alegría,Reconocimiento,-
,,211,,C8,usuario_taylor,San Marcos Taylor’s versión,1,Juego de Palabras,Positivo/Humor,"Versión de Taylor Swift, Broma",-
,,211,,C9,usuario_elogio,La canción >>>>>>,10,Elogio Extendido,Positivo/Admiración,Banda Sonora Superior,-
,,211,,C10,usuario_swiftie,Las swifties sanmarquinas aquí 🤩,2,Identificación Grupal,Positivo/Entusiasmo,Fanáticas de Taylor en la Universidad,-
,,211,,C11,usuario_swiftie2,Una Swiftie trabaja aquí 🫦,5,Afirmación de Presencia,Positivo/Revelación,"Empleada Swiftie, Emoji Sugestivo",-
,,211,,C12,usuario_comparacion,taylor>,2,Comparación Simple,Positivo/Preferencia,Taylor Swift es Mejor,-
https://www.instagram.com/p/DKx5TfGP8aK/?img_index=1,741,212,"📢 ¡Concluyó la segunda vuelta del proceso electoral de la UNMSM! 🎓

Con una participación del 83.42% de los 19,981 votantes activos, se llevó a cabo exitosamente la segunda vuelta para elegir a los decanos de nueve facultades de nuestra universidad. 🗳️

Desde las 10:00 a.m., docentes y estudiantes sanmarquinos ejercieron su derecho al voto para elegir a sus nuevas autoridades. 🙋‍♀️🙋‍♂️

Este proceso electoral contó con la supervisión del Comité Electoral Universitario de la UNMSM, el apoyo técnico y logístico de la @onpe_oficial y la supervisión de la Oficina de la @defensoriaperu del Pueblo. ✅

📅 El 16 de junio, se llevará a cabo la proclamación y entrega de credenciales a las nuevas autoridades electas por el voto popular. 🌟

¡Gracias a todos por participar en este importante proceso!

#UNMSM #ProcesoElectoral #VotoPopular #Decanos #Educación",C1,sihomaochoa,En serio??,0,Expresión de Incredulidad,Neutral/Escepticismo,Duda sobre la Información,-
,,212,,C2,edithcanelo_h,Jajajaja 🤡🤡🤡,0,Risa y Sarcasmo,Negativo/Burla,"Risa, Emojis de Payaso",-
,,212,,C3,jheslynlagos,En serio,0,Afirmación Sencilla,Neutral/Confirmación,Confirmar la Pregunta,C1
,,212,,C4,usuario_aleatorio,GILES 🙌,1,Expresión de Desaprobación,Negativo/Insulto,"Insulto (""Giles""), Saludo Irónico",-
,,212,,C5,fan_sanmarcos,Jajajaja que maleados para poner esa canción 😂😂😂,1,Crítica Humorística al Audio,Positivo/Diversión,"Canción Inapropiada, Risa",-
,,212,,C6,usuario_acusador,"Chiste, robaron voto 😢",1,Acusación de Fraude,Negativo/Tristeza,Denuncia de Robo de Votos,-
,,212,,C7,usuario_critico,2/3 el voto de los profesores cual es la equidad bab🐻,0,Crítica al Sistema,Negativo/Irónico,"Desequilibrio en la Representación, Insulto (""bab🐻"")",-
https://www.instagram.com/p/DKxq1xPvvXZ/,1894,213,"📚 San Marcos promueve la orientación vocacional en Cañete

Este viernes 20 de junio, estudiantes de la Escuela Profesional de Administración de la UNMSM organizan la Feria Vocacional Cañete 2025, una actividad que busca acercar información académica a jóvenes del sur chico sobre carreras profesionales, becas y programas educativos.

📍 Colegio Centro de Mujeres 20188 – San Vicente de Cañete
🕑 De 2:00 p.m. a 6:00 p.m.
🎓 Ingreso libre

Con la participación de más de 12 instituciones, esta feria refleja el compromiso social de la Universidad Nacional Mayor de San Marcos y de sus estudiantes con la educación descentralizada en el país.

#SanMarcosEnAcción #UNMSM",C1,sihomaochoa,"Iniciativas de esta índole representan un significativo aporte al proceso de orientación vocacional en una etapa tan crucial como la escolar. Reciban mis más sinceras felicitaciones y mis mejores augurios de éxito en su proyecto, temochistas 🙌",16,Elogio Formal y Deseos,Positivo/Orgullo,"Reconocimiento a la Iniciativa, Término ""Temochistas""",-
,,213,,C2,edithcanelo_h,"Cuando hacen una feria vocacional acá en lima,sobre todas las carreras que ofrecen",0,Solicitud de Evento Similar,Neutral/Consulta,"Feria en Lima, Amplia Oferta",-
,,213,,C3,jheslynlagos,Cuando haran uno similiar pero en la Ciudad Universitaria? Tengo dos carreras pensadas pero no estoy seguro si quiero estudiar esas carreras a futuro,4,Pregunta y Expresión de Duda,Neutral/Consulta,"Evento en Ciudad Universitaria, Indecisión Vocacional",-
,,213,,C4,usuario_informado,@fukazeee el open de San Marcos lo hacen en Chorrillos antes del examen de admisión,0,Respuesta Informativa,Neutral/Informativo,"Open Day en Chorrillos, Mención",C3
,,213,,C5,usuario_curioso,@kingoftheuniverse_05 Una cercana o como te informas de eso?,0,Pregunta sobre Fuente,Neutral/Consulta,"Cómo Enterarse, Mención",C4
,,213,,C6,usuario_respuesta,@fukazeee la uno sale en el Facebook de la universidad por edad fechas o sino en las oficinas de la OCA,0,Respuesta Detallada,Neutral/Informativo,"Fuentes de Información (Facebook, OCA), Mención",C5
,,213,,C7,usuario_solicita_info,@kingoftheuniverse_05 La oca? Me puedes pasar esa información por dm? gracias,0,Solicitud de Detalles,Neutral/Solicitud,"Información por DM, Mención",C6
,,213,,C8,usuario_aclara_fecha,@fukazeee Como te digo la fecha del open es por el mes de septiembre u octubre así q esa información sale por esos meses,1,Aclaración de Temporalidad,Neutral/Informativo,"Meses de Evento, Mención",C7
,,213,,C9,usuario_consulta,Es libre la entrada ?,0,Pregunta sobre Costo,Neutral/Consulta,Gratuidad del Evento,-
,,213,,C10,usuario_confirma,@mayrariosneyra Si 🙌,1,Confirmación Afirmativa,Positivo/Confirmación,"Respuesta, Mención",C9
,,213,,C11,usuario_broma,Ah con razón me van a poner a chambiar de orientador vocacional. Lleguen a la facultad de Ciencias Biológicas y sean las futuras promesas que transformaran el mundo!! ♟️🧬🦠🧫🧪,1,Broma y Promoción,Positivo/Humor,"Broma Laboral, Invitación a Biología",-
,,213,,C12,usuario_aprobacion,Que bonito ver eventos así ❤️🙌,2,Expresión de Aprecio,Positivo/Alegría,Belleza del Evento,-
,,213,,C13,usuario_elogio,Demasiado god,0,Elogio Coloquial,Positivo/Aprobación,"Término ""God"" (excelente)",-
,,213,,C14,usuario_risa,😂😂,0,Risa,Positivo/Diversión,Risa,-
,,213,,C15,usuario_orgullo,Orgullo temochista,9,Expresión de Orgullo Grupal,Positivo/Orgullo,"Identificación como ""Temochista""",-
,,213,,C16,usuario_etiquetador,@jesuss_pe,0,Mención a Usuario,Neutral/Compartir,Etiquetar,-
,,213,,C17,usuario_pregunta,@2007renso.sa Go cañete?,0,Pregunta sobre Origen,Neutral/Consulta,"Procedencia de Cañete, Mención",-
,,213,,C18,usuario_identificacion,Mi cañete y soy san marquino hare que vallan más,3,Identificación y Promesa,Positivo/Compromiso,"Origen Cañetano, Propagar el Evento",-
https://www.instagram.com/p/DKxceqPv0p9/,186,214,"🔧 Foro Industrial 2025 en San Marcos
Con el lema “¿Queremos empleo? Desarrollemos industria”, San Marcos fue sede de un importante espacio de diálogo entre academia, industria y sector empresarial.

📍 Nuestra rectora resaltó el rol clave de la industria en el crecimiento del país.
💬 Felipe James Callao (SNI): “La única forma real de reducir la pobreza es con crecimiento económico”.
🌱 Reinaldo Serra (Grupo Gloria) compartió la experiencia de su empresa en innovación sostenible.

🌟 San Marcos, impulsando conocimiento, industria y futuro.

#ForoIndustrial2025 #SanMarcos #IndustriaPeruana #InnovaciónSostenible #DesarrolloEconómico",,,,,,,,
https://www.instagram.com/p/DKxbpZjv3NS/?img_index=1,865,215,"📢 COMUNICADO IMPORTANTE

La Rectora de la UNMSM, Dra. Jeri Ramón Ruffner, rechaza un audio manipulado que busca desinformar sobre el proceso electoral.

Lee el comunicado completo aquí y mantente informado.",,,,,,,,
https://www.instagram.com/p/DKvW9kyvD1O/,287,216,"🎉 En el Mes de la Cultura Afroperuana, celebramos nuestras raíces y honramos a quienes lucharon por la visibilidad de la herencia afroperuana. Desde 2006, cada junio rendimos homenaje a íconos como Nicomedes Santa Cruz, Susana Baca, Lucha Reyes, Arturo “Zambo” Cavero, Amador Ballumbrosio, Ronaldo Campos, Porfirio Vásquez y Victoria Santa Cruz. 🎶💃

Este mes, el Centro Universitario de Folklore tiene actividades imperdibles para continuar celebrando su legado y fortaleciendo nuestra identidad. 🌍🎉

¡No te lo pierdas!

#CulturaAfroperuana #LegadoAfroperuano #IdentidadYTradición",C1,sihomaochoa,❤️ esoo,1,Expresión de Apoyo,Positivo/Entusiasmo,"Emoción, Aliento",-
,,216,,C2,edithcanelo_h,❤️❤️❤️,1,Reacción Afectiva,Positivo/Afecto,Emoción Extendida,-
,,216,,C3,jheslynlagos,"Llego, soy un negrito sabroso :v",0,Autoidentificación Humorística,Positivo/Humor,"Broma sobre Identidad, Carita",-
,,217,"👨‍⚕️ 𝐎𝐫𝐠𝐮𝐥𝐥𝐨 𝐒𝐚𝐧𝐦𝐚𝐫𝐪𝐮𝐢𝐧𝐨

El Dr. Carlos Luis Urbano Durand, actual director general del Instituto Nacional de Salud del Niño (INSN) sede Breña, es egresado de la Facultad de Medicina San Fernando de la UNMSM. Con una destacada trayectoria, recuerda con gratitud a los grandes mentores que marcaron su formación en la Decana de América. 🎓❤️

Ha dirigido importantes instituciones como el Hospital de Emergencias de Villa El Salvador (HEVES), el Hospital de Emergencias Pediátricas y fue el primer director del INSN de San Borja. 🏥✨

Nuestro orgulloso sanmarquino forma parte de la galería de ilustres personajes que han dedicado su vida al cuidado de la salud infantil, con amor, entrega y profunda vocación de servicio. 👶💙

📸Jairo Vega Llosa

#OrgulloSanmarquino #UNMSM #SanFernando #SaludInfantil #VidasQueInspiran",C1,sihomaochoa,Jajaja me dio ternura con la canción 🥹,4,Reacción Emotiva,Positivo/Ternura,"Banda Sonora, Emoción",-
,,217,,C2,edithcanelo_h,"Jajajaja la música 😂. Fuera de ello, éxitos Dr. !! ❤️",0,Comentario sobre Audio y Deseos,Positivo/Diversión,"Risa por la Música, Buenas Vibras",-
,,217,,C3,jheslynlagos,❤️,0,Reacción General,Positivo/Afecto,Emoción,-
,,217,,C4,usuario_aleatorio,👏👏👏👏👏👏 excelente !!!!!,0,Aplauso y Elogio,Positivo/Aprobación,Reconocimiento Extendido,-
,,217,,C5,fan_sanmarcos,Saludos al doctor Luis Urbano y al doctor Alberto Ramírez 👏👏👏👏,1,Saludo Personal,Positivo/Respeto,Reconocimiento a Doctores,-
,,217,,C6,usuario_corazon,❤️,0,Reacción General,Positivo/Afecto,Emoción,-
,,217,,C7,usuario_azul,💙,0,Reacción con Emoji,Positivo/Afecto,"Color, Emoción",-
,,217,,C8,usuario_negro,🖤,0,Reacción con Emoji,Positivo/Afecto,"Color, Emoción",-
,,217,,C9,usuario_aprobador,CM 🔥,0,Elogio al CM,Positivo/Entusiasmo,Reconocimiento al Administrador,-
,,217,,C10,usuario_blanco,🤍,0,Reacción con Emoji,Positivo/Afecto,"Color, Emoción",-
,,217,,C11,usuario_elogio,El que pone las canciones JAJAJAJAJA,21,Elogio Humorístico,Positivo/Diversión,"Reconocimiento al Selector Musical, Risa",-
,,217,,C12,usuario_bandera,🇵🇪,0,Reacción Patriótica,Positivo/Orgullo,Bandera del Perú,-
,,217,,C13,usuario_emotivo,😍😍❤️🙌,0,Reacción Emotiva,Positivo/Admiración,Emoción Extendida,-
,,217,,C14,usuario_musical,Good música AJAJAJA,12,Elogio al Audio,Positivo/Diversión,"Banda Sonora, Risa",-
,,217,,C15,usuario_risa,@andrext_20 jajajja,0,Risa y Mención,Positivo/Diversión,"Risa, Mención",C14
,,217,,C16,usuario_aprobacion,JOYA los posts,0,Elogio General,Positivo/Aprobación,Calidad de las Publicaciones,-
,174,218,"Foro Industrial 2025: “Queremos Empleo – Desarrollemos Industria” 🏭💼

Como parte de la Semana de la Industria 2025, la UNMSM y la Sociedad Nacional de Industrias @sni_peru (SNI) organizaron el 5º Foro Universitario, cuyo objetivo fue poner en agenda la necesidad de articular los procesos formativos de las universidades con las demandas reales del mercado laboral, promoviendo una industria nacional más dinámica, inclusiva y generadora de empleo formal. 💼📚

El foro fue inaugurado por la rectora Dra. Jeri Ramón Ruffner y el presidente de la SNI, Felipe James Callao James, quienes destacaron que la industria es un pilar fundamental para el desarrollo del Perú, generando empleo formal, impulsando la innovación y contribuyendo significativamente al bienestar del país. 🌍💡

El evento se llevó a cabo en el Auditorio Rosa Alarco Larrabure de la Biblioteca Central de la UNMSM y contó con la presencia de autoridades académicas, representantes de gremios empresariales, especialistas en desarrollo industrial y miembros de la comunidad universitaria. 🎤👥

#IndustriaYDesarrollo #SemanaDeLaIndustria #UNMSM #TrabajoYEducación",,,,,,,,
https://www.instagram.com/p/DKuc6UGRl9S/?img_index=1,5967,219,"🇵🇪✨ Conoce a Yanymee Guillén Quispe, primera peruana con doctorado en Medicina en Corea del Sur y orgullo sanmarquino.

🌏 Desde Asia, promueve la cooperación científica entre Latinoamérica y Asia, fundando y liderando la Sociedad Peruana de Investigadores Científicos en Asia-Pacífico (SAPPIENS) y la Asociación Académica Peruana-Coreana.

🎓 Licenciada en Nutrición por la UNMSM, máster en Ciencias por la Universidad de Hallym y doctora en Medicina Molecular por la Universidad Nacional de Seúl, su trabajo fortalece los lazos científicos internacionales.

📲 Descubre más sobre su inspiradora labor y el impacto de la ciencia peruana en el mundo.",C1,sihomaochoa,Un éxito y súper ejemplo para todos @scienceyany 🙌🏻👏🏻👏🏻🔝🔝💯,3,Elogio y Mención,Positivo/Admiración,"Reconocimiento como Ejemplo, Mención",-
,,219,,C2,edithcanelo_h,@alissonnutri Muchas gracias ❤️,2,Agradecimiento Personal,Positivo/Gratitud,"Respuesta, Mención",C1
,,219,,C3,jheslynlagos,"Dónde está dynamite, ahí me verán ! ❤️ JAJAJAJAJA",5,Pregunta Humorística,Positivo/Humor,"Canción ""Dynamite"" de BTS, Risa",-
,,219,,C4,usuario_aleatorio,👏👏👏👏👏👏👏 felicidades querida @scienceyany 👏👏,1,Felicitación Extendida,Positivo/Alegría,"Aplauso, Mención",-
,,219,,C5,usuario_agradecido,@mrcds.frances ❤️❤️,0,Agradecimiento Afectivo,Positivo/Cariño,"Respuesta, Mención",C4
,,219,,C6,protagonista,Muchas gracias @unmsm_ . Gracias a todos por sus buenos deseos. 🙌.,8,Agradecimiento General,Positivo/Gratitud,Agradecimiento a la Universidad y a Todos,-
,,219,,C7,usuario_musical,La música todo que ver 💜,11,Elogio al Audio,Positivo/Aprobación,"Banda Sonora Adecuada, Color",-
,,219,,C8,usuario_entusiasta,🔥🔥🙌❤️,1,Reacción Emotiva,Positivo/Entusiasmo,"Emoción, Fuego",-
,,219,,C9,usuario_felicitacion,"Felicidades, reina 🥳🤍",1,Felicitación Cariñosa,Positivo/Alegría,"Término ""Reina"", Color Blanco",-
,,219,,C10,protagonista2,@petalosazulados Muchas gracias ❤️,0,Agradecimiento Personal,Positivo/Gratitud,"Respuesta, Mención",C9
,,219,,C11,usuario_elogio,"ídola, master, crack, reina 👏👏",1,Elogio Múltiple,Positivo/Admiración,Varios Términos de Elogio,-
,,219,,C12,protagonista3,@korimiyy ❤️❤️,0,Agradecimiento Afectivo,Positivo/Cariño,"Respuesta, Mención",C11
,,219,,C13,usuario_correccion,"Y NO es médico, es Nutricionista que éxito 🙌 😉",18,Corrección y Reconocimiento,Positivo/Admiración,"Aclarar Profesión, Emoticon Guiño",-
,,219,,C14,usuario_broma,@ani_wint próximamente BTS en la verbena! JAJAJAJAJAJA,1,Broma sobre Evento,Positivo/Humor,"BTS en Fiesta Universitaria, Risa, Mención",C3
,,219,,C15,usuario_fan_bts,Amo cuando usan canciones de BTS en noticias que involucran a Corea del Sur 😍🙌🔥,50,Elogio a la Conexión Musical,Positivo/Entusiasmo,"Coherencia Cultural, Amor a BTS",-
,,219,,C16,usuario_afirmacion,Lo es todo 💜💜,0,Expresión de Adoración,Positivo/Admiración,"Todo lo Representa, Color Púrpura",-
,,219,,C17,usuario_elogio2,Paved the way amiga.,3,Elogio en Inglés,Positivo/Respeto,"Frase ""Paved the way"" (Abrió el camino)",-
,,219,,C18,usuario_promesa,Y lo seguirán demostrando en esta segunda etapa 🔥💋💜✨,0,Expresión de Confianza,Positivo/Expectativa,Continuidad del Éxito,C17
,,219,,C19,usuario_bromista,Buuuuh 👏 la mujer que me bajaría el autoestima sin duda 🤗 felicidades,3,Broma Autodespectiva,Positivo/Humor,"Comparación que Disminuye Autoestima, Felicitación",-
,,219,,C20,usuario_aplauso,👏👏👏,1,Aplauso,Positivo/Aprobación,Reconocimiento,-
,,219,,C21,usuario_corazon,❤️❤️❤️❤️❤️,1,Reacción Afectiva,Positivo/Afecto,Emoción Extendida,-
,,219,,C22,usuario_musical2,Esa musiquita todo que veeeeer,0,Elogio al Audio,Positivo/Aprobación,"Banda Sonora, Énfasis",-
https://www.instagram.com/p/DKsu6kGPDe8/?img_index=1,723,220,"📢 UNMSM promueve el turismo regional con la Feria “Explora Perú” 🌎

Este 3 de julio, estudiantes del 7.º ciclo de Administración en Turismo organizan la segunda edición de una feria académica y cultural que resalta la riqueza de siete regiones del país.

📍 Ubicación: Explanada del Pabellón de Turismo – Puerta 2
🕘 Hora: Desde las primeras horas de la mañana
🎟️ Ingreso libre

¡Conoce, disfruta y promueve el turismo interno!
#ExploraPerú #UNMSM #TurismoRegional #SanMarcos @exploraperu.ed2",C1,(no visible),Turismo ✨️,(no visible),Enfoque de la Publicación,Neutral/Descriptivo,Palabra clave principal (Turismo),-
,,220,,C2,(no visible),❤️❤️🙌,(no visible),Reacción Positiva,Positivo/Aprobación,Emoticon de apoyo,-
,,220,,C3,(no visible),❤️🙌👏,(no visible),Reacción Positiva,Positivo/Aprobación,Emoticon de apoyo,-
,,220,,C4,(no visible),👀👀❤️,(no visible),Interés,Positivo/Curiosidad,Emoticon de interés,-
,,220,,C5,(no visible),❤️👀,(no visible),Interés,Positivo/Curiosidad,Emoticon de interés,-
,,220,,C6,(no visible),😍😍😍esos chicos valen un Perú!,1,Elogio y Orgullo,Positivo/Orgullo Nacional,"Reconocimiento a los estudiantes, Perú",-
,,220,,C7,(no visible),@exploraperu.ed2 🙌❤️❤️,1,Mención y Apoyo,Positivo/Aprobación,"Mención a la cuenta oficial, Apoyo",-
,,220,,C8,(no visible),🙌❤️,3,Reacción Positiva,Positivo/Aprobación,Emoticon de apoyo,-
,,220,,C9,(no visible),🙌🙌🙌❤️❤️❤️❤️❤️❤️ excelente,(no visible),Elogio Entusiasta,Positivo/Admiración,"Enthusiasm, Calificativo (""excelente"")",-
,,220,,C10,(no visible),👏👏👏,(no visible),Reacción Positiva,Positivo/Aprobación,Emoticon de felicitación,-
https://www.instagram.com/p/DKsmyInv6rq/,160,221,"UNMSM otorga título honorífico de Docente Emérito al Dr. José Piscoya Arbañil 🎓

La Decana de América distinguió al Dr. José Piscoya Arbañil por su destacada carrera. Médico sanmarquino, lideró la Facultad de Medicina San Fernando, presidió la Sociedad Peruana de Medicina Interna y fundó el primer servicio de Auditoría Médica en el Perú, formando a 77 generaciones de auditores médicos en todo el país.

El homenaje se realizó en el Salón de Grados del Centro Cultural de San Marcos, con la participación de autoridades, colegas y familiares. Visiblemente emocionado, el Dr. Piscoya agradeció a su familia y recordó con gratitud su formación en San Marcos.

Hoy, San Marcos honra a un médico y sanmarquino que ha dejado huella en nuestra universidad y en el Perú. 🌟

#SanMarcos #DocenteEmérito #LegadoSanmarquino",,,,,,,,
https://www.instagram.com/p/DKnQbfMP-pj/,756,222,"🇵🇪 Hoy, en el 145 Aniversario de la Batalla de Arica y Renovación del juramento de Fidelidad a la Bandera, rendimos homenaje a nuestro símbolo de unidad y valentía, que ha acompañado a generaciones de peruanos en la construcción de nuestra identidad.

La bandera representa el sacrificio, el coraje y el compromiso de aquellos que lucharon por la libertad de nuestra patria. Recordamos también a Alfonso Ugarte, quien, con su valentía, se inmortalizó en la Batalla de Arica, defendiendo con honor la soberanía de nuestro Perú.

¡Viva el Perú! 🎉🇵🇪",C1,(no visible),Diseñaso 🔥,(no visible),Elogio a la Publicación,Positivo/Admiración,"Reconocimiento estético (diseño, ""Diseñaso"")",-
,,222,,C2,(no visible),#LosDeberesSagrados #AricaNoSeRinde #ComunismoNuncqMás #IzquierdaFarsante #IzquierdaNuncaMás,(no visible),Consigna Política/Ideológica,Polarizado/Posición,"Hashtags políticos, Oposición a la izquierda",-
,,222,,C3,(no visible),Día 2 queriendo conocer al CM,(no visible),Comentario Colateral/Personal,Neutral/Humor o Deseo,"Fuera del tema principal (CM), Interacción personal",-
https://www.instagram.com/p/DKlJK7uP3L1/,824,223,"🌊 Desde el desierto hasta el océano… apareció un gigante.

En 2023, bajo el sol de Ocucaje, el paleontólogo sanmarquino Mario Urbina y su equipo desenterraron al Perucetus colossus:
🐋 Un cetáceo de 39 millones de años
⚖️ ¡Con un peso de hasta 199 toneladas!
🦴 El animal más pesado que haya existido.

Hoy, sus imponentes restos forman parte del Museo de Historia Natural de la UNMSM. @museohnunmsm
🔬 Ciencia hecha en el Perú. ¡Un verdadero orgullo sanmarquino!",C1,(no visible),😮‍💨 excelente info!,(no visible),Elogio a la Información,Positivo/Admiración,Reconocimiento de calidad,-
,,223,,C2,(no visible),👏👏👏,(no visible),Reacción Positiva,Positivo/Aprobación,Emoticon de felicitación,-
,,223,,C3,(no visible),Hay clases hoy????,(no visible),Consulta Práctica,Neutral/Consulta,Fuera de tema (logística académica),-
https://www.instagram.com/p/DKlCQI6PX1u/,888,224,"🇵🇪ES CLAVE

🔵 La Universidad Nacional Mayor de San Marcos y la Sociedad Nacional de Industrias se unen por el desarrollo del país.

Este lunes 9 de junio, San Marcos será sede del Foro Industrial 2025: “¿Queremos empleo? Desarrollemos industria”, un espacio de diálogo para fortalecer la relación entre la universidad y el sector productivo.

📍 Auditorio Rosa Alarco Larrabure – Biblioteca Central
🕛 12:00 p.m.

Entérate de más en esta nota de prensa 👉🏽 https://unmsm.edu.pe/noticias-y-eventos/noticias/noticia-detalle/foro-industrial-2025-unmsm-y-sni-unen-esfuerzos-por-una-industria-nacional-que-genere-empleo

#UNMSM #ForoIndustrial2025 #SemanaDeLaIndustria #SNI #EmpleoFormal #DesarrolloNacional",C1,(no visible),"@jackelinearcep en todos lados, menos en mis brazos. 🤣❤️ Éxitos, amiga. ❤️",1,Mención Personal / Broma,Positivo/Afectuoso y de Broma,"Interacción personal, broma cariñosa",-
,,224,,C2,(no visible),@cristianjunior.08 JAJSHAJAJA PEROO,1,Reacción a Broma,Positivo/Humor,Reacción a comentario anterior,C1
,,224,,C3,(no visible),Qué éxito! @jackelinearcep 🙌,1,Elogio Personal,Positivo/Admiración,Felicitación personal,-
,,224,,C4,(no visible),@jackelinearcep en todos lados menos en tu casa. Te amo capa ❤️,1,Mención Personal / Broma,Positivo/Afectuoso y de Broma,Otra broma dirigida a la misma persona,-
,,224,,C5,(no visible),"bb q haces ahí @jackelinearcep, en los lugares menos esperados. Perú es clave XD",1,Mención Personal / Broma,Positivo/Humor y Confusión,Broma sobre la ubicación de la persona mencionada,-
,,224,,C6,(no visible),@hady.caro JAJSHAJAHSJAJAJAJAJA,2,Reacción a Broma,Positivo/Humor,"Risa, reacción a broma",C5
,,224,,C7,(no visible),San Marcos es clave,2,Apoyo a la Institución,Positivo/Orgullo,"Frase clave de la publicación, apoyo institucional",-
,,224,,C8,(no visible),Uyyy es hora que ahí las escuelas de ingeniería estén ahí presente...,1,Propuesta / Crítica Constructiva,Neutral/Reflexivo,Sugerencia para inclusión de otras facultades,-
,,224,,C9,(no visible),🙌,(no visible),Reacción Positiva,Positivo/Aprobación,Emoticon de apoyo,-
,,224,,C10,(no visible),😂😂😂😂😂😂,(no visible),Reacción de Humor General,Positivo/Humor,Reacción graciosa al hilo de comentarios,C1-C6
https://www.instagram.com/p/DKk9bD-Ry0y/,119,225,"En Petramás creemos en la importancia de transmitir nuestro conocimiento y experiencia a las nuevas generaciones. Por ello, nos sentimos comprometidos con la formación de futuros profesionales conscientes de la preservación del medio ambiente. Gracias por la visita @unmsm_ 🧡🍃",,,,,,,,
https://www.instagram.com/p/DKk7KaTvNQW/,548,226,"📣🌏 ¡San Marcos y China hacen historia en la educación! Estudiantes, llegó el momento de soñar en grande: becas, intercambios, y la oportunidad de aprender chino directamente desde la fuente. Una delegación china aterrizó en nuestra casa de estudios con una misión clara: construir puentes académicos que transformen tu futuro. 🚀🎓

#SanMarcosConChina #BecasGlobales #TuFuturoEmpiezaHoy
26 sem",,,,,,,,
https://www.instagram.com/p/DKkcC4GvZA4/?img_index=1,7504,227,"😎De San Marcos al mundo 🌏

Valeria Churango no solo rompió barreras: abrió camino.

Es la primera mujer egresada de la UNMSM en llegar a la Escuela de Gobierno de Harvard.
Su historia comenzó entre aulas públicas, esfuerzo diario y sueños gigantes. Hoy, es prueba de que sí se puede llegar lejos, muy lejos, cuando el talento se encuentra con la perseverancia.

💡 Que su logro inspire a más sanmarquinos y sanmarquinas a creer en su poder.

#SanMarcos #HarvardKennedySchool",C1,(no visible),Felicidades Vale!!! 🥳🥳🥳🥳,4,Felicitación Personal,Positivo/Alegría,Dirigido a la protagonista (Valeria),-
,,227,,C2,(no visible),Jajaja esa música 😂 Muchas felicidades ❤️,20,Crítica/Reacción a la Música,Mixto (Humor/Felicidad),"Comentario sobre la edición (música), Felicitación",-
